"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.326008167E0,2.685917048E-1,-2.894254804E-2,-1.635490776E0,1.657651729E0
2.335967167E0,1.746857138E-1,1.388017899E-1,-1.767257196E0,1.781285781E0
2.345925167E0,1.332096590E-1,2.907440275E-1,-1.927385536E0,1.953737932E0
2.355884167E0,1.450996797E-1,4.138507211E-1,-2.084901924E0,2.130526313E0
2.365843167E0,1.963293287E-1,5.524367487E-1,-2.071852693E0,2.153208106E0
2.375801167E0,2.025495967E-1,6.680458501E-1,-1.912941744E0,2.036334381E0
2.385760167E0,2.238482259E-1,7.645699319E-1,-1.634807237E0,1.818590089E0
2.395719167E0,1.825674681E-1,8.586375985E-1,-1.186976591E0,1.476313935E0
2.405678167E0,8.797676817E-2,8.532569906E-1,-6.758720559E-1,1.092057892E0
2.415637167E0,2.068408683E-2,8.153538769E-1,-1.472463387E-1,8.288010982E-1
2.425595167E0,4.270367771E-3,7.292632744E-1,4.181028163E-1,8.406266260E-1
2.435554167E0,3.171763659E-2,6.727578288E-1,9.406684792E-1,1.156921040E0
2.445513167E0,1.027018113E-1,6.499905252E-1,1.344117588E0,1.496558531E0
2.455472167E0,1.490518127E-1,5.725064394E-1,1.570989556E0,1.678686466E0
2.465430167E0,1.609384713E-1,4.581042033E-1,1.584177366E0,1.656918398E0
2.475389167E0,2.138436399E-1,3.416937411E-1,1.378471735E0,1.436199164E0
2.485348167E0,1.561376148E-1,2.716610545E-1,1.034105231E0,1.080533346E0
2.495306167E0,2.473956943E-3,3.108335987E-1,7.985571653E-1,8.569230962E-1
2.505265167E0,-1.101894633E-1,4.466977474E-1,6.187611312E-1,7.710680468E-1
2.515224167E0,-1.231559564E-1,5.311216012E-1,3.322832322E-1,6.384901653E-1
2.525183167E0,-1.143189132E-1,5.822277278E-1,3.663222134E-2,5.944744406E-1
2.535141167E0,-5.257275447E-2,5.637920415E-1,-9.923192739E-2,5.748672334E-1
2.545100167E0,-8.188236147E-2,6.256204998E-1,6.687752903E-2,6.344906105E-1
2.555059167E0,-1.708673358E-1,6.686872897E-1,4.681812948E-1,8.339856489E-1
2.565018167E0,-3.023602523E-1,5.998901197E-1,7.607935077E-1,1.014936766E0
2.574976167E0,-5.418741922E-1,4.764901882E-1,8.147521985E-1,1.088343551E0
2.584935167E0,-7.946586804E-1,3.861059752E-1,4.848938066E-1,1.007810620E0
2.594894167E0,-9.770551175E-1,3.344279909E-1,6.472984672E-2,1.034731239E0
2.604853167E0,-1.023168745E0,3.356980062E-1,-2.676270604E-1,1.109590770E0
2.614811167E0,-9.601743521E-1,4.111437526E-1,-3.276405430E-1,1.094679084E0
2.624770167E0,-8.491823584E-1,4.556966123E-1,-9.269181669E-2,9.681744952E-1
2.634729167E0,-7.689101739E-1,3.392171529E-1,4.222619408E-1,9.405297864E-1
2.644688167E0,-8.842422634E-1,8.154205352E-2,1.150887576E0,1.453642219E0
2.654646167E0,-1.169151647E0,-3.384491211E-1,1.907007989E0,2.262331287E0
2.664605167E0,-1.523831323E0,-7.202474526E-1,2.549980686E0,3.056668087E0
2.674564167E0,-1.826289224E0,-1.109574367E0,2.834500353E0,3.549771803E0
2.684523167E0,-2.074381321E0,-1.572408967E0,2.651909350E0,3.715932053E0
2.694481167E0,-2.227060016E0,-1.876403955E0,1.995037821E0,3.529994904E0
2.704440167E0,-1.821994298E0,-1.876774376E0,1.066777133E0,2.824882074E0
2.714399167E0,-1.837675361E0,-1.572409260E0,4.734718555E-1,2.464487210E0
2.724358167E0,-1.923194983E0,-1.182124864E0,-3.897292024E-1,2.290848530E0
2.734316167E0,-1.352426043E0,-9.262308267E-1,-1.072430221E0,1.958843109E0
2.744275167E0,-7.222033462E-1,-7.511061332E-1,-1.367512298E0,1.719252158E0
2.754234167E0,-5.269557524E-1,-5.502519366E-1,-1.507640821E0,1.689212954E0
2.764193167E0,-5.341139138E-1,-3.290850976E-1,-1.560553445E0,1.681933925E0
2.774151167E0,-5.048630713E-1,-2.389394510E-1,-1.459743354E0,1.562955355E0
2.784110167E0,-4.873566538E-1,-2.979013118E-1,-1.284682980E0,1.405941698E0
2.794069167E0,-4.848689559E-1,-3.533896342E-1,-1.174647737E0,1.319006992E0
2.804028167E0,-5.043122636E-1,-2.847076544E-1,-1.017556441E0,1.170816134E0
2.813986167E0,-4.334577508E-1,-1.483488312E-1,-8.706977731E-1,9.838737773E-1
2.823945167E0,-2.777097067E-1,-5.160460174E-3,-6.249369603E-1,6.838826770E-1
2.833904167E0,-5.325147003E-2,1.543571377E-1,-3.554534090E-1,3.911636115E-1
2.843863167E0,6.104975536E-2,2.314775267E-1,-2.242693716E-1,3.280330304E-1
2.853821167E0,8.707088828E-2,1.885083854E-1,-1.717555279E-1,2.694748825E-1
2.863780167E0,6.686583459E-2,1.190478489E-1,-4.071942508E-2,1.424833385E-1
2.873739167E0,-3.403064892E-2,-2.840489656E-2,1.045078701E-1,1.135201221E-1
2.883697167E0,-1.362934805E-1,-2.328530842E-1,2.042350566E-1,3.383909426E-1
2.893656167E0,-1.943506309E-1,-4.404055586E-1,3.113279808E-1,5.732838175E-1
2.903615167E0,-3.122319603E-1,-5.698152584E-1,3.675056899E-1,7.464841980E-1
2.913574167E0,-4.125188716E-1,-6.687913701E-1,3.497658223E-1,8.601103688E-1
2.923532167E0,-5.155172829E-1,-7.321044365E-1,2.947715896E-1,9.426692235E-1
2.933491167E0,-5.797602028E-1,-7.729782280E-1,1.346204460E-1,9.755715751E-1
2.943450167E0,-5.697154172E-1,-7.892150688E-1,-7.928649008E-2,9.765871333E-1
2.953409167E0,-4.769198124E-1,-7.901281115E-1,-2.740531504E-1,9.627357215E-1
2.963367167E0,-3.618568410E-1,-7.722897184E-1,-5.213582128E-1,9.995930015E-1
2.973326167E0,-2.604570584E-1,-6.811249021E-1,-8.504172903E-1,1.120258265E0
2.983285167E0,-8.017000437E-2,-5.939291757E-1,-1.110558161E0,1.261950286E0
2.993244167E0,2.273062693E-1,-5.111244160E-1,-1.183424408E0,1.308972741E0
3.003202167E0,4.831827651E-1,-4.098661360E-1,-1.138119596E0,1.302602030E0
3.013161167E0,6.265728651E-1,-3.059941506E-1,-1.055629417E0,1.265140087E0
3.023120167E0,6.367657314E-1,-2.431497386E-1,-9.535422939E-1,1.172107204E0
3.033079167E0,5.561735581E-1,-1.890080300E-1,-8.390193129E-1,1.024210169E0
3.043037167E0,4.914814259E-1,-2.185651204E-1,-7.764903581E-1,9.445961995E-1
3.052996167E0,4.247233263E-1,-2.861332056E-1,-7.214236200E-1,8.847113398E-1
