"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.795444584E1,6.250132231E1,2.543452749E1,1.810880957E2,2.007376259E2,1.570595619E0,6.664755249E1,1.055427385E-1,4.748651497E0,5.498115261E0,-1.000000000E0
6.895445025E1,6.250132560E1,2.543455483E1,1.808154137E2,2.004649383E2,1.471236210E0,6.664755249E1,1.071027987E-1,4.748651461E0,6.162705426E0,-1.000000000E0
6.995445514E1,6.250132929E1,2.543458415E1,1.810359604E2,2.006854788E2,1.509983984E0,6.664755249E1,1.084181323E-1,4.748651460E0,5.650656962E0,-1.000000000E0
7.095445955E1,6.250133131E1,2.543460939E1,1.810071278E2,2.006566418E2,1.444076467E0,6.664755249E1,1.095048868E-1,4.748651446E0,6.216577540E0,-1.000000000E0
7.195446420E1,6.250133519E1,2.543462882E1,1.814566938E2,2.011062026E2,1.230848079E0,6.664755249E1,1.106335911E-1,4.748651477E0,5.606256681E0,-1.000000000E0
7.295446897E1,6.250133922E1,2.543464900E1,1.810464350E2,2.006959382E2,1.384391808E0,6.664755249E1,1.146438076E-1,4.748651481E0,5.258257783E0,-1.000000000E0
7.395447266E1,6.250130624E1,2.543468062E1,1.808001544E2,2.004496830E2,1.570439908E0,1.338870239E2,1.160368712E-1,4.748651455E0,5.174754921E0,-1.000000000E0
7.495447779E1,6.250129747E1,2.543469999E1,1.804978729E2,2.001474071E2,1.455590206E0,1.344058533E2,1.176584000E-1,4.748651428E0,5.787646299E0,-1.000000000E0
7.595448172E1,6.250128726E1,2.543472254E1,1.801641611E2,1.998137019E2,1.612576727E0,1.344058533E2,1.190730895E-1,4.748651478E0,5.251700590E0,-1.000000000E0
7.695448601E1,6.250127835E1,2.543474221E1,1.802484575E2,1.998980040E2,1.475673807E0,1.344058533E2,1.206752834E-1,4.748651484E0,5.645322066E0,-1.000000000E0
7.795449030E1,6.250126826E1,2.543476449E1,1.799369326E2,1.995864855E2,1.480398436E0,1.344058533E2,1.222635491E-1,4.748651493E0,5.652891586E0,-1.000000000E0
7.895449388E1,6.250125826E1,2.543478658E1,1.793945659E2,1.990441253E2,1.481621745E0,1.344058533E2,1.238940017E-1,4.748651484E0,5.614900783E0,-1.000000000E0
