"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.075684958E0,-6.968967430E-2,-3.074588782E-1,2.510005027E-1,4.029750176E-1
2.085643958E0,-8.667547032E-2,-3.182154161E-1,8.888206333E-2,3.415753348E-1
2.095601958E0,-5.302744858E-2,-2.523348373E-1,-7.128749907E-2,2.675195095E-1
2.105560667E0,-6.199364215E-3,-1.989596987E-1,-2.110151955E-1,2.900875843E-1
2.115518667E0,-1.071173362E-2,-1.791148335E-1,-2.967453173E-1,3.467775197E-1
2.125477667E0,6.701786220E-3,-1.649499536E-1,-2.690683991E-1,3.156757902E-1
2.135436667E0,4.661276065E-2,-1.605160099E-1,-2.439896911E-1,2.957517680E-1
2.145394667E0,9.957530513E-2,-1.659276080E-1,-2.281805742E-1,2.991882132E-1
2.155353667E0,1.655017845E-1,-1.518633002E-1,-2.102933568E-1,3.076956265E-1
2.165311667E0,2.352842103E-1,-1.005440426E-1,-1.817197680E-1,3.138309070E-1
2.175270667E0,2.173876373E-1,-1.063222611E-1,-2.196448088E-1,3.268113372E-1
2.185228667E0,1.628597932E-1,-1.523293233E-1,-3.486291236E-1,4.138475574E-1
2.195187667E0,1.227025779E-1,-1.849842685E-1,-4.034125641E-1,4.604528196E-1
2.205145667E0,2.219451765E-1,-1.867091972E-1,-4.299361190E-1,5.186184070E-1
2.215104667E0,2.824475594E-1,-1.604826808E-1,-3.782633972E-1,4.986125874E-1
2.225062667E0,2.181319879E-1,-1.724618715E-1,-2.983003843E-1,4.078085096E-1
2.235021667E0,8.292141169E-2,-1.672900093E-1,-1.771253183E-1,2.573621692E-1
2.244979667E0,2.036753319E-2,-9.598379910E-2,1.850906879E-2,9.985144829E-2
2.254938667E0,8.114656247E-2,-2.831455708E-2,1.572886392E-1,1.792378163E-1
2.264897667E0,1.508786291E-1,-5.520297825E-2,2.179944322E-1,2.708012223E-1
2.274855667E0,1.689251100E-1,-1.495326000E-1,1.249430117E-1,2.578884399E-1
2.284814667E0,8.281528473E-2,-2.289220011E-1,-1.483505854E-1,2.850816553E-1
2.294772667E0,-4.127622619E-3,-2.055191052E-1,-3.669352940E-1,4.205908342E-1
2.304731667E0,-3.249443918E-2,-1.036126614E-1,-3.778093609E-1,3.931048020E-1
2.314689667E0,-5.274553970E-2,2.472787499E-3,-2.809373698E-1,2.858566290E-1
2.324648667E0,-2.256396666E-2,8.697499394E-2,-1.790660092E-1,2.003457457E-1
2.334606667E0,-9.258963659E-2,3.773851454E-2,-3.088294655E-2,1.046460351E-1
2.344565667E0,-1.050656945E-1,-3.844485819E-2,-4.808750153E-3,1.119818349E-1
2.354523667E0,-1.146339320E-1,-2.621306777E-2,2.022902727E-2,1.193200604E-1
2.364482667E0,-1.391349350E-1,1.848597229E-2,1.280540228E-2,1.409405535E-1
2.374440667E0,-1.731030187E-1,1.037220043E-1,7.301505893E-2,2.146022090E-1
2.384399667E0,-1.595526811E-1,1.258016753E-1,1.284469557E-1,2.403783268E-1
2.394358667E0,-1.309128727E-1,3.871909261E-2,1.176395470E-1,1.802121289E-1
2.404316667E0,-1.378160955E-1,-1.530157864E-2,7.855295688E-2,1.593674419E-1
2.414275667E0,-1.267536020E-1,2.856189430E-2,1.410175923E-1,1.917504075E-1
2.424233667E0,-1.501269695E-1,4.315829873E-2,3.014608043E-1,3.395281465E-1
2.434192667E0,-1.762096444E-1,1.828365862E-2,3.449547333E-1,3.877858932E-1
2.444150667E0,-2.164251857E-1,2.088859320E-2,3.284334254E-1,3.938841318E-1
2.454109667E0,-3.103314690E-1,7.232245624E-2,3.519301692E-1,4.747536228E-1
2.464067667E0,-1.888353910E-1,1.301771468E-1,4.383666345E-1,4.947425600E-1
2.474026667E0,-1.233182167E-1,4.874648273E-2,3.672913894E-1,3.904952841E-1
2.483985667E0,-2.453855677E-1,1.467651129E-4,2.573225123E-1,3.555685218E-1
2.493943667E0,-3.331876503E-1,-2.388587594E-3,9.662699282E-2,3.469243309E-1
2.503902667E0,-3.120878995E-1,-5.459896088E-2,-6.525156453E-2,3.234774648E-1
2.513860667E0,-1.408895382E-1,-1.660433829E-1,-2.063347918E-1,2.999905220E-1
2.523819667E0,-4.677675312E-1,2.803330600E-2,-9.181444198E-2,4.775167235E-1
2.533777667E0,-4.389823464E-1,2.164188999E-1,3.629659116E-3,4.894443943E-1
2.543736667E0,-1.484834634E-1,2.126790208E-1,1.038620451E-1,2.794047766E-1
2.553694667E0,-5.448011622E-2,1.147603780E-1,1.815699331E-1,2.215979875E-1
2.563653667E0,-1.535934913E-1,6.323295951E-2,1.879615246E-1,2.508364058E-1
2.573611667E0,-2.582382593E-1,-1.935428381E-4,1.796112621E-1,3.145588045E-1
2.583570667E0,-2.252662488E-1,-3.611181915E-2,2.015153705E-1,3.043967655E-1
2.593529667E0,-1.652622680E-1,6.179337502E-3,3.461580902E-1,3.836342332E-1
2.603487667E0,-1.044681821E-1,3.192579746E-4,4.554505907E-1,4.672782293E-1
2.613446667E0,-1.493047779E-1,-9.928981483E-2,4.589899103E-1,4.927698467E-1
2.623404667E0,-1.481262716E-1,-1.280762422E-1,4.048102679E-1,4.496846330E-1
2.633363667E0,-9.995464325E-2,-9.091367841E-2,3.696205547E-1,3.935423510E-1
2.643321667E0,3.832228594E-3,-6.801949024E-2,2.852055448E-1,2.932295003E-1
2.653280667E0,1.538439166E-1,-4.822666526E-2,5.872534096E-2,1.715879587E-1
2.663238667E0,1.255987952E-1,-6.588584125E-2,-8.702703416E-2,1.664022419E-1
2.673197667E0,3.165805894E-2,-1.111801279E-1,-1.252304754E-1,1.704286522E-1
2.683156667E0,-9.694647007E-3,-1.545249528E-1,-1.849129325E-1,2.411736715E-1
2.693114667E0,4.139049815E-3,-1.182915115E-1,-1.634103451E-1,2.017745136E-1
2.703073667E0,9.843809478E-2,-5.434168339E-2,-8.492788374E-2,1.409106898E-1
2.713031667E0,5.592359733E-2,-8.700072169E-3,-3.554933527E-2,6.683483547E-2
2.722990667E0,8.759140011E-2,-1.956478357E-2,-1.004101505E-1,1.346745427E-1
2.732948667E0,1.523868818E-1,-2.679311156E-2,-1.607522374E-1,2.231163697E-1
2.742907667E0,1.299982768E-1,-4.297820449E-2,-1.548541510E-1,2.067038609E-1
2.752865667E0,1.222202557E-1,-6.047833622E-2,-1.630823529E-1,2.125823932E-1
